Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,18,0,0.94,14,2,1,80.80,37.30,3.85,7.17,5.55,4.19,5.25,5.20,-5.02,2.43e-03,9.49e-06,Moderately soluble,-7.77,4.31e-06,1.68e-08,Poorly soluble,-5.31,1.25e-03,4.88e-06,Moderately soluble,High,Yes,No,Yes,No,Yes,No,No,-2.77,1,0,1,0,1,0.85,0,0,2,2.31
Molecule 2,CC(=O)CCC=C(C)C,C8H14O,126.20,9,0,0.62,3,1,0,40.30,17.07,2.23,1.88,2.32,1.97,1.96,2.07,-1.61,3.11e+00,2.46e-02,Very soluble,-1.86,1.74e+00,1.38e-02,Very soluble,-1.85,1.79e+00,1.42e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.73,0,1,0,0,2,0.55,0,1,1,2.22
Molecule 3,CCCCCC(=O)O,C6H12O2,116.16,8,0,0.83,4,2,1,32.73,37.30,1.57,1.92,1.65,1.27,0.93,1.47,-1.51,3.62e+00,3.12e-02,Very soluble,-2.33,5.47e-01,4.71e-03,Soluble,-1.21,7.23e+00,6.22e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.65,0,2,0,0,1,0.85,0,0,1,1.17
Molecule 4,OC(=O)c1cccnc1,C6H5NO2,123.11,9,6,0.00,1,3,1,31.20,50.19,0.86,0.36,0.78,-1.13,0.75,0.32,-1.26,6.81e+00,5.53e-02,Very soluble,-0.98,1.29e+01,1.05e-01,Very soluble,-1.35,5.46e+00,4.44e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.80,0,3,0,0,1,0.85,0,0,1,1.00
Molecule 5,O=CCc1ccccc1,C8H8O,120.15,9,6,0.12,2,1,0,36.42,17.07,1.33,1.78,1.43,1.78,2.34,1.73,-2.07,1.03e+00,8.56e-03,Soluble,-1.76,2.10e+00,1.75e-02,Very soluble,-2.70,2.39e-01,1.99e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.77,0,3,0,0,2,0.55,0,1,1,1.00
Molecule 6,CCCCCCCCO,C8H18O,130.23,9,0,1.00,6,1,1,41.73,20.23,2.51,3.00,2.34,2.22,2.14,2.44,-2.14,9.40e-01,7.22e-03,Soluble,-3.09,1.06e-01,8.14e-04,Soluble,-2.49,4.23e-01,3.25e-03,Soluble,High,Yes,No,No,No,No,No,No,-4.96,0,1,0,0,2,0.55,0,0,1,1.44
Molecule 7,CCCCCCCO,C7H16O,116.20,8,0,1.00,5,1,1,36.92,20.23,2.26,2.62,1.95,1.89,1.71,2.08,-1.88,1.53e+00,1.32e-02,Very soluble,-2.69,2.35e-01,2.02e-03,Soluble,-2.07,9.98e-01,8.59e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.15,0,2,0,0,2,0.55,0,0,1,1.35
Molecule 8,O=CC1=C(C)CCCC1(C)C,C10H16O,152.23,11,0,0.70,1,1,0,47.54,17.07,2.23,2.43,2.71,2.20,3.03,2.52,-2.25,8.59e-01,5.64e-03,Soluble,-2.43,5.64e-01,3.70e-03,Soluble,-2.60,3.83e-01,2.52e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.50,0,1,0,0,2,0.55,0,1,1,2.67
Molecule 9,O=Cc1ccccc1,C7H6O,106.12,8,6,0.00,1,1,0,31.83,17.07,1.36,1.48,1.50,1.45,2.05,1.57,-1.92,1.28e+00,1.20e-02,Very soluble,-1.45,3.80e+00,3.59e-02,Very soluble,-2.28,5.62e-01,5.30e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.90,0,3,0,0,2,0.55,0,1,1,1.00
Molecule 10,COC(=O)c1cn(c2c1cccc2)OC,C11H11NO3,205.21,15,9,0.18,3,3,0,55.66,40.46,2.58,2.73,1.49,1.90,1.32,2.00,-3.08,1.71e-01,8.35e-04,Soluble,-3.23,1.20e-01,5.84e-04,Soluble,-2.67,4.41e-01,2.15e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.61,0,0,0,0,0,0.55,0,0,1,2.28
