Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CCCC(=O)CCC(=O)C,C8H14O2,142.20,10,0,0.75,5,2,0,40.97,34.14,1.76,0.36,1.72,1.04,1.92,1.36,-0.62,3.42e+01,2.41e-01,Very soluble,-0.64,3.24e+01,2.28e-01,Very soluble,-2.15,1.02e+00,7.14e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.91,0,1,0,0,1,0.55,0,0,1,1.54
Molecule 2,CCCCCCC(CO)C,C9H20O,144.25,10,0,1.00,6,1,1,46.54,20.23,2.73,3.40,2.59,2.54,2.41,2.73,-2.48,4.77e-01,3.31e-03,Soluble,-3.50,4.52e-02,3.13e-04,Soluble,-2.53,4.23e-01,2.93e-03,Soluble,High,Yes,No,No,No,No,No,No,-4.77,0,1,0,0,2,0.55,0,0,1,1.99
Molecule 3,CC(CCOCCC(C)C)C,C10H22O,158.28,11,0,1.00,6,1,0,51.27,9.23,3.20,4.25,3.10,2.84,2.82,3.24,-3.10,1.25e-01,7.89e-04,Soluble,-4.16,1.11e-02,6.99e-05,Moderately soluble,-2.87,2.12e-01,1.34e-03,Soluble,High,Yes,No,No,No,No,No,No,-4.25,0,1,0,0,2,0.55,0,0,2,1.87
Molecule 4,C=CC(CCOC(=O)C)C,C8H14O2,142.20,10,0,0.62,5,2,0,41.38,26.30,2.48,1.91,1.76,1.85,1.74,1.95,-1.59,3.61e+00,2.54e-02,Very soluble,-2.09,1.17e+00,8.21e-03,Soluble,-1.62,3.40e+00,2.39e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.81,0,1,0,0,1,0.55,0,1,1,2.02
Molecule 5,CCC1CCC(=O)C1,C7H12O,112.17,8,0,0.86,1,1,0,33.85,17.07,1.79,1.37,1.77,1.35,2.15,1.68,-1.33,5.22e+00,4.65e-02,Very soluble,-1.33,5.23e+00,4.66e-02,Very soluble,-1.66,2.47e+00,2.20e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.01,0,2,0,0,2,0.55,0,0,1,1.89
Molecule 6,CC1CC(=CC(=O)C1)C,C8H12O,124.18,9,0,0.62,0,1,0,38.18,17.07,1.95,1.25,1.93,1.58,2.14,1.77,-1.40,4.97e+00,4.00e-02,Very soluble,-1.21,7.71e+00,6.21e-02,Very soluble,-1.69,2.55e+00,2.06e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.17,0,2,0,0,2,0.55,0,0,1,3.03
Molecule 7,C/C=C/CC(=O)C,C6H10O,98.14,7,0,0.50,2,1,0,30.68,17.07,1.77,0.92,1.54,1.28,1.25,1.35,-0.90,1.25e+01,1.27e-01,Very soluble,-0.86,1.34e+01,1.37e-01,Very soluble,-1.01,9.48e+00,9.66e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.25,0,3,0,0,2,0.55,0,1,1,2.18
Molecule 8,CC(=O)/C=C/C1=C(C)CC(C=C1)(C)C,C13H18O,190.28,14,0,0.46,2,1,0,61.01,17.07,2.81,2.62,3.43,2.85,3.40,3.02,-2.54,5.51e-01,2.90e-03,Soluble,-2.63,4.48e-01,2.35e-03,Soluble,-2.63,4.48e-01,2.36e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.60,0,0,0,0,2,0.55,0,1,1,3.67
Molecule 9,CCCCCC(=O)OCCC/C=C/C,C12H22O2,198.30,14,0,0.75,9,2,0,60.61,26.30,3.18,3.72,3.47,3.04,3.47,3.38,-2.82,3.01e-01,1.52e-03,Soluble,-3.96,2.16e-02,1.09e-04,Soluble,-3.27,1.06e-01,5.35e-04,Soluble,High,Yes,No,No,No,No,No,No,-4.87,0,0,0,0,1,0.55,0,1,3,2.40
Molecule 10,CC(C(C(C)(C)C)O)COC(=O)C(C)C,C12H24O3,216.32,15,0,0.92,6,3,1,61.98,46.53,2.84,3.06,2.23,2.27,2.26,2.53,-2.71,4.19e-01,1.94e-03,Soluble,-3.70,4.28e-02,1.98e-04,Soluble,-1.92,2.58e+00,1.19e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.45,0,0,0,0,0,0.55,0,0,1,2.97
