Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CC(=CCC/C(=C/C(=O)O)/C)C,C10H16O2,168.23,12,0,0.50,4,2,1,51.01,37.30,2.13,3.09,2.76,2.38,1.96,2.47,-2.57,4.57e-01,2.72e-03,Soluble,-3.54,4.84e-02,2.88e-04,Soluble,-1.40,6.73e+00,4.00e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.13,0,0,0,0,1,0.85,0,2,1,2.49
Molecule 2,CC1CCCC(C1=O)(C)C,C9H16O,140.22,10,0,0.89,0,1,0,43.20,17.07,2.19,2.44,2.40,2.00,2.58,2.32,-2.25,7.95e-01,5.67e-03,Soluble,-2.44,5.07e-01,3.62e-03,Soluble,-2.33,6.59e-01,4.70e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.42,0,1,0,0,2,0.55,0,0,1,2.06
Molecule 3,CCCCCCCC/C=C/C=O,C11H20O,168.28,12,0,0.73,8,1,0,54.72,17.07,2.87,4.23,3.49,2.88,3.58,3.41,-3.02,1.61e-01,9.55e-04,Soluble,-4.30,8.45e-03,5.02e-05,Moderately soluble,-3.13,1.24e-01,7.38e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-4.32,0,0,0,0,2,0.55,0,2,3,2.50
Molecule 4,CCCCC(CO)CC,C8H18O,130.23,9,0,1.00,5,1,1,41.73,20.23,2.50,3.08,2.20,2.22,1.97,2.39,-2.26,7.19e-01,5.52e-03,Soluble,-3.17,8.76e-02,6.73e-04,Soluble,-2.12,9.99e-01,7.67e-03,Soluble,High,Yes,No,No,No,No,No,No,-4.91,0,1,0,0,2,0.55,0,0,1,1.90
Molecule 5,C/C(=C/C)/C(=O)O,C5H8O2,100.12,7,0,0.40,1,2,1,27.45,37.30,1.21,0.99,1.04,0.79,0.19,0.84,-1.02,9.60e+00,9.58e-02,Very soluble,-1.36,4.35e+00,4.35e-02,Very soluble,-0.04,9.15e+01,9.14e-01,Soluble,High,Yes,No,No,No,No,No,No,-6.21,0,3,0,0,1,0.85,0,1,1,1.42
Molecule 6,CC(=CC)C(=O)O,C5H8O2,100.12,7,0,0.40,1,2,1,27.45,37.30,1.14,0.99,1.04,0.79,0.19,0.83,-1.02,9.60e+00,9.58e-02,Very soluble,-1.36,4.35e+00,4.35e-02,Very soluble,-0.04,9.15e+01,9.14e-01,Soluble,High,Yes,No,No,No,No,No,No,-6.21,0,3,0,0,1,0.85,0,1,1,1.42
Molecule 7,OCCc1ccccc1,C8H10O,122.16,9,6,0.25,2,1,1,37.38,20.23,1.70,1.36,1.22,1.87,2.03,1.64,-1.82,1.87e+00,1.53e-02,Very soluble,-1.39,5.01e+00,4.10e-02,Very soluble,-2.58,3.18e-01,2.60e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.08,0,3,0,0,2,0.55,0,0,1,1.00
Molecule 8,O=CC1=C(C)C=CCC1(C)C,C10H14O,150.22,11,0,0.50,1,1,0,47.06,17.07,2.13,2.14,2.49,2.10,2.62,2.30,-2.05,1.33e+00,8.84e-03,Soluble,-2.13,1.11e+00,7.41e-03,Soluble,-2.13,1.12e+00,7.43e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.70,0,1,0,0,2,0.55,0,1,1,3.42
Molecule 9,CC(=O)/C=C/C1=C(C)CCCC1(C)C,C13H20O,192.30,14,0,0.62,2,1,0,61.48,17.07,2.77,2.91,3.66,2.94,3.81,3.22,-2.73,3.55e-01,1.85e-03,Soluble,-2.93,2.26e-01,1.18e-03,Soluble,-3.10,1.54e-01,8.02e-04,Soluble,High,Yes,No,No,No,No,No,No,-5.41,0,0,0,0,2,0.55,0,1,1,3.38
Molecule 10,CCCCCCCCCCO,C10H22O,158.28,11,0,1.00,8,1,1,51.35,20.23,2.99,4.57,3.12,2.84,3.02,3.31,-3.17,1.06e-01,6.72e-04,Soluble,-4.72,3.03e-03,1.91e-05,Moderately soluble,-3.32,7.54e-02,4.76e-04,Soluble,High,Yes,No,No,No,No,No,No,-4.02,0,1,0,0,2,0.55,0,0,3,1.64
