Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CCCCCCCCC(CCCCCC)CO,C16H34O,242.44,17,0,1.00,13,1,1,80.19,20.23,4.46,7.00,5.32,4.45,5.48,5.34,-4.90,3.09e-03,1.27e-05,Moderately soluble,-7.24,1.40e-05,5.76e-08,Poorly soluble,-5.40,9.74e-04,4.02e-06,Moderately soluble,High,Yes,No,No,No,No,No,No,-2.81,1,0,1,0,2,0.55,0,0,3,2.74
Molecule 2,CC(CCC1=C(C)CCCC1(C)C)O,C13H24O,196.33,14,0,0.85,3,1,1,62.92,20.23,2.99,3.17,3.67,3.15,3.66,3.33,-2.86,2.73e-01,1.39e-03,Soluble,-3.27,1.07e-01,5.43e-04,Soluble,-3.34,8.93e-02,4.55e-04,Soluble,High,Yes,No,No,No,No,No,No,-5.25,0,0,0,0,2,0.55,0,1,1,3.48
Molecule 3,OC/C=C(\CCC=C(C)C)/C,C10H18O,154.25,11,0,0.60,4,1,1,50.40,20.23,2.75,3.56,2.67,2.59,2.35,2.78,-2.78,2.59e-01,1.68e-03,Soluble,-3.67,3.30e-02,2.14e-04,Soluble,-1.84,2.20e+00,1.43e-02,Soluble,High,Yes,No,No,No,No,No,No,-4.71,0,1,0,0,2,0.55,0,1,2,2.58
Molecule 4,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,20,0,0.61,13,2,1,88.99,37.30,3.36,6.46,5.66,4.38,5.59,5.09,-4.78,4.64e-03,1.67e-05,Moderately soluble,-7.04,2.55e-05,9.16e-08,Poorly soluble,-3.96,3.08e-02,1.11e-04,Soluble,High,Yes,No,Yes,No,Yes,No,No,-3.41,1,1,1,0,1,0.85,0,1,2,3.03
Molecule 5,C=C[C@@]1(C)CC[C@H](O1)C(O)(C)C,C10H18O2,170.25,12,0,0.80,2,2,1,49.92,29.46,2.64,2.43,1.88,1.38,2.10,2.09,-2.29,8.64e-01,5.08e-03,Soluble,-2.69,3.46e-01,2.03e-03,Soluble,-1.56,4.66e+00,2.74e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.61,0,0,0,0,1,0.55,0,1,1,3.20
Molecule 6,CC1=CC2C(CC1)(O)C(C)CCC2C(C)C,C15H26O,222.37,16,0,0.87,1,1,1,70.72,20.23,3.24,3.70,3.78,3.67,3.22,3.52,-3.48,7.30e-02,3.28e-04,Soluble,-3.82,3.40e-02,1.53e-04,Soluble,-2.73,4.10e-01,1.85e-03,Soluble,High,Yes,No,No,Yes,Yes,No,No,-5.03,0,0,0,0,1,0.55,0,1,2,4.34
Molecule 7,CC1=C[C@@H]2[C@@H](CC1)[C@@](C)(O)CC[C@H]2C(C)C,C15H26O,222.37,16,0,0.87,1,1,1,70.72,20.23,3.21,3.34,3.78,3.67,3.22,3.44,-3.26,1.23e-01,5.54e-04,Soluble,-3.44,8.04e-02,3.61e-04,Soluble,-2.73,4.10e-01,1.85e-03,Soluble,High,Yes,No,No,Yes,No,No,No,-5.29,0,0,0,0,1,0.55,0,1,1,4.29
Molecule 8,OC/C=C(/CCC=C(C)C)\C,C10H18O,154.25,11,0,0.60,4,1,1,50.40,20.23,2.52,3.56,2.67,2.59,2.35,2.74,-2.78,2.59e-01,1.68e-03,Soluble,-3.67,3.30e-02,2.14e-04,Soluble,-1.84,2.20e+00,1.43e-02,Soluble,High,Yes,No,No,No,No,No,No,-4.71,0,1,0,0,2,0.55,0,1,2,2.58
Molecule 9,C=C[C@]1(C)CC[C@H](O1)C(O)(C)C,C10H18O2,170.25,12,0,0.80,2,2,1,49.92,29.46,2.44,2.43,1.88,1.38,2.10,2.05,-2.29,8.64e-01,5.08e-03,Soluble,-2.69,3.46e-01,2.03e-03,Soluble,-1.56,4.66e+00,2.74e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.61,0,0,0,0,1,0.55,0,1,1,3.20
Molecule 10,C=CC(CC/C=C(/CCC=C(C)C)\C)(O)C,C15H26O,222.37,16,0,0.60,7,1,1,74.00,20.23,3.64,4.83,4.40,3.86,4.21,4.19,-3.80,3.53e-02,1.59e-04,Soluble,-4.99,2.29e-03,1.03e-05,Moderately soluble,-3.15,1.56e-01,7.00e-04,Soluble,High,Yes,No,Yes,No,Yes,No,No,-4.23,0,0,0,0,1,0.55,0,1,2,3.53
