Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CCCCCCCCCC=O,C10H20O,156.27,11,0,0.90,8,1,0,50.38,17.07,2.72,3.80,3.33,2.70,3.32,3.17,-2.67,3.30e-01,2.11e-03,Soluble,-3.85,2.19e-02,1.40e-04,Soluble,-3.44,5.67e-02,3.63e-04,Soluble,High,Yes,No,No,No,No,No,No,-4.56,0,1,0,0,2,0.55,0,1,3,1.62
Molecule 2,CCCCCCCCCCCCCCCC(=O)OC,C17H34O2,270.45,19,0,0.94,15,2,0,85.12,26.30,4.41,7.38,5.64,4.44,5.84,5.54,-5.18,1.80e-03,6.67e-06,Moderately soluble,-7.76,4.68e-06,1.73e-08,Poorly soluble,-6.01,2.64e-04,9.75e-07,Poorly soluble,High,Yes,No,Yes,No,No,No,No,-2.71,1,1,1,0,1,0.55,0,0,2,2.53
Molecule 3,Cc1cnccn1,C5H6N2,94.11,7,6,0.20,0,2,0,27.00,25.78,1.17,0.21,0.78,-0.51,1.46,0.62,-1.19,6.08e+00,6.46e-02,Very soluble,-0.31,4.60e+01,4.89e-01,Very soluble,-1.95,1.06e+00,1.12e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.72,0,3,0,0,1,0.55,0,0,1,1.46
Molecule 4,O=Cc1ccco1,C5H4O2,96.08,7,5,0.00,1,2,0,24.10,30.21,1.03,0.41,1.09,-0.56,1.48,0.69,-1.16,6.70e+00,6.97e-02,Very soluble,-0.61,2.35e+01,2.45e-01,Very soluble,-1.47,3.23e+00,3.37e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.60,0,3,0,0,1,0.55,0,1,1,1.77
Molecule 5,CCCCCCCCCCC=O,C11H22O,170.29,12,0,0.91,9,1,0,55.19,17.07,2.95,4.34,3.72,2.99,3.76,3.55,-3.04,1.57e-01,9.20e-04,Soluble,-4.41,6.58e-03,3.86e-05,Moderately soluble,-3.85,2.39e-02,1.40e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-4.26,0,0,0,0,2,0.55,0,1,3,1.72
Molecule 6,CCCCCCCCCCCCO,C12H26O,186.33,13,0,1.00,10,1,1,60.96,20.23,3.37,5.13,3.90,3.41,3.89,3.94,-3.57,5.05e-02,2.71e-04,Soluble,-5.30,9.35e-04,5.02e-06,Moderately soluble,-4.15,1.33e-02,7.14e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-3.79,0,0,0,0,3,0.55,0,0,3,1.85
Molecule 7,CCCCCCO,C6H14O,102.17,7,0,1.00,4,1,1,32.12,20.23,2.03,2.03,1.56,1.53,1.28,1.69,-1.49,3.32e+00,3.25e-02,Very soluble,-2.08,8.45e-01,8.27e-03,Soluble,-1.64,2.34e+00,2.29e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.48,0,2,0,0,2,0.55,0,0,1,1.07
Molecule 8,CCCCCCC=O,C7H14O,114.19,8,0,0.86,5,1,0,35.96,17.07,2.01,2.32,2.16,1.74,2.02,2.05,-1.68,2.39e+00,2.09e-02,Very soluble,-2.32,5.50e-01,4.82e-03,Soluble,-2.18,7.51e-01,6.58e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.35,0,2,0,0,2,0.55,0,1,1,1.33
Molecule 9,CCCCCCCCCCCC=O,C12H24O,184.32,13,0,0.92,10,1,0,60.00,17.07,3.22,4.89,4.11,3.27,4.20,3.94,-3.40,7.28e-02,3.95e-04,Soluble,-4.98,1.91e-03,1.04e-05,Moderately soluble,-4.26,1.00e-02,5.45e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-3.95,0,0,0,0,2,0.55,0,1,3,1.83
Molecule 10,CCCCCCCCCO,C9H20O,144.25,10,0,1.00,7,1,1,46.54,20.23,2.72,3.77,2.73,2.54,2.58,2.87,-2.65,3.25e-01,2.25e-03,Soluble,-3.89,1.87e-02,1.29e-04,Soluble,-2.91,1.79e-01,1.24e-03,Soluble,High,Yes,No,No,No,No,No,No,-4.50,0,1,0,0,2,0.55,0,0,2,1.54
